20191209
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,331.50,332.00,331.00,331.92,-2.30,-0.69%,331.39,984.00,"326,096,200.00",-,,
Au99.99,337.10,337.10,331.61,332.31,-2.29,-0.68%,332.05,"25,387.02","8,195,562,298.80",-,,
Au100g,335.04,335.04,331.35,332.50,-3.89,-1.16%,332.87,25.60,"8,521,476.00",-,,
iAu99.99,332.50,332.50,329.95,330.32,-2.93,-0.88%,330.32,"1,000.60","330,389,200.00",-,,
Au(T+D),334.56,335.35,331.10,331.91,-3.04,-0.91%,332.27,"79,950.00","26,565,301,800.00","227,322",多支付给空,"9,118"
Au(T+N1),338.05,338.90,336.00,336.35,-3.80,-1.12%,336.95,231.00,"77,831,410.00","105,978",,
Au(T+N2),332.40,332.40,331.50,332.10,-2.55,-0.76%,332.05,81.00,"26,894,800.00","230,570",多支付给空,"30,000"
mAu(T+D),335.02,335.48,331.50,332.28,-2.94,-0.88%,332.53,"9,666.60","3,214,451,632.00","1,072,956",空支付给多,"30,384"
Pt99.95,210.00,210.00,208.37,208.58,-1.09,-0.52%,208.88,302.00,"63,084,580.00",-,,
Ag99.99,"4,063","4,063","4,063","4,063",-68,-1.65%,"4,063","12,150.00","49,365,450.00",810,,
Ag(T+D),"4,105","4,130","4,016","4,038",-77,-1.87%,"4,052","14,945,618.00","60,567,532,474.00","13,244,112",多支付给空,"44,100"
沪纽金TN06,338.40,339.00,335.45,336.00,-3.05,-0.90%,336.35,908.40,"305,554,440.00","30,662",,
沪纽金TN12,333.10,333.35,329.50,330.10,-3.35,-1.00%,330.90,278.00,"91,994,860.00","18,880",,
PGC30g,341.28,341.31,337.90,338.03,-3.65,-1.07%,339.57,2.04,"692,732.40",-,,
