20200304
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,366.50,366.50,364.00,365.88,8.10,2.26%,366.04,136.00,"49,782,520.00",-,,
Au99.99,361.98,368.00,358.82,365.00,6.36,1.77%,366.07,"5,972.64","2,144,859,066.60",-,,
Au100g,360.50,368.00,359.00,365.79,5.80,1.61%,365.57,45.80,"16,743,508.00",-,,
iAu99.99,365.50,366.75,365.05,365.14,7.24,2.02%,365.26,7.46,"2,724,913.00",-,,
iAu100g,262.00,262.00,262.00,262.00,-26.00,-9.03%,262.00,0.20,"52,400.00",-,,
Au(T+D),359.79,368.19,358.60,364.70,7.01,1.96%,364.61,"159,926.00","58,311,043,640.00","258,960",多支付给空,"9,888"
Au(T+N1),360.00,369.60,360.00,367.20,7.25,2.01%,368.20,202.60,"74,596,170.00","149,952",多支付给空,600
Au(T+N2),364.45,373.50,364.45,372.15,7.75,2.13%,369.20,21.00,"7,752,960.00","111,564",多支付给空,890
mAu(T+D),359.60,368.17,358.66,364.80,6.97,1.95%,364.82,"27,678.20","10,097,712,402.00","1,000,904",多支付给空,"30,156"
Pt99.95,201.97,204.90,199.64,203.52,1.54,0.76%,203.51,386.00,"78,554,960.00",-,,
Ag99.99,"4,160","4,160","4,160","4,160",88,2.16%,"4,160",60.00,"249,600.00",4,,
Ag(T+D),"4,047","4,215","4,036","4,112",69,1.71%,"4,128","21,888,544.00","90,369,018,920.00","13,447,604",多支付给空,"127,590"
NYAuTN06,361.80,368.55,359.60,365.35,6.90,1.92%,364.50,741.20,"270,169,760.00","41,852",,
NYAuTN12,363.50,372.10,363.50,369.10,6.70,1.85%,369.00,169.00,"62,360,550.00","25,424",,
PGC30g,364.85,373.24,364.85,371.12,6.97,1.91%,371.30,1.62,"601,513.20",-,,
