20200310
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,370.20,370.20,366.00,366.53,-4.66,-1.26%,366.86,198.00,"72,639,200.00",-,,
Au99.99,373.46,373.69,365.50,367.01,-6.45,-1.73%,368.49,"10,900.14","3,791,222,874.60",-,,
Au100g,370.20,373.39,366.00,368.58,-4.10,-1.10%,369.65,56.20,"20,774,452.00",-,,
iAu99.99,373.00,373.00,368.50,368.54,-4.31,-1.16%,369.74,"1,121.80","414,779,202.20",-,,
Au(T+D),372.30,374.20,365.00,366.67,-6.35,-1.70%,369.45,"168,494.00","62,250,978,280.00","280,232",空支付给多,"12,828"
Au(T+N1),377.00,377.00,366.95,368.60,-6.65,-1.77%,369.00,123.00,"45,388,130.00","149,790",多支付给空,400
Au(T+N2),378.00,379.95,371.00,372.45,-6.15,-1.62%,373.10,79.60,"29,697,810.00","112,616",,
mAu(T+D),372.93,374.17,365.03,367.01,-5.84,-1.57%,369.88,"31,095.60","11,501,802,712.00","1,024,598",空支付给多,"42,606"
Pt99.95,201.68,203.70,199.50,202.87,-0.54,-0.27%,201.46,294.00,"59,229,480.00",-,,
Ag99.99,"4,088","4,088","4,088","4,088",78,1.95%,"4,088",60.00,"245,280.00",4,,
Ag(T+D),"4,024","4,077","3,963","4,066",8,0.20%,"4,022","14,297,042.00","57,515,422,594.00","13,017,372",多支付给空,"28,230"
NYAuTN06,373.60,375.70,366.95,368.45,-6.35,-1.69%,371.70,"1,241.40","461,421,510.00","48,870",,
NYAuTN12,376.40,378.80,370.80,372.15,-5.95,-1.57%,373.60,682.80,"255,107,220.00","26,938",,
PGC30g,379.62,379.62,372.85,373.98,-1.25,-0.33%,376.25,2.04,"767,554.20",-,,
