20200121
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,347.80,348.50,347.80,348.35,3.33,0.97%,348.04,738.00,"256,860,680.00",-,,
Au99.99,345.98,348.80,345.10,348.20,3.00,0.87%,348.02,"13,390.74","4,643,063,889.20",-,,
Au100g,346.00,348.80,346.00,348.01,2.76,0.80%,347.85,16.40,"5,704,802.00",-,,
iAu99.99,343.64,347.50,343.64,347.05,3.48,1.01%,347.05,"4,797.70","1,665,047,421.00",-,,
iAu100g,262.00,262.00,262.00,262.00,1.00,0.38%,262.00,0.20,"52,400.00",-,,
Au(T+D),345.40,348.80,345.37,348.04,2.96,0.86%,347.70,"41,670.00","14,488,945,400.00","242,044",多支付给空,"15,432"
Au(T+N1),349.00,352.45,349.00,351.40,3.65,1.05%,351.05,208.00,"73,014,530.00","142,256",多支付给空,
Au(T+N2),353.00,356.10,353.00,355.25,3.15,0.89%,354.80,8.40,"2,980,460.00","104,738",多支付给空,400
mAu(T+D),345.71,348.89,345.10,348.09,3.08,0.89%,347.46,"4,904.40","1,704,114,624.00","1,240,262",多支付给空,"55,270"
Pt99.95,233.03,233.03,233.03,233.03,0.30,0.13%,233.03,34.00,"7,923,020.00",-,,
Ag99.99,"4,260","4,260","4,260","4,260",-20,-0.47%,"4,260",30.00,"127,800.00",2,,
Ag(T+D),"4,265","4,303","4,256","4,286",23,0.54%,"4,285","4,151,530.00","17,789,625,504.00","11,509,074",多支付给空,"207,210"
NYAuTN06,346.70,349.85,345.50,349.40,3.25,0.94%,348.60,446.20,"155,536,510.00","39,388",,
NYAuTN12,350.60,354.20,350.30,354.00,3.60,1.03%,353.20,429.40,"151,664,140.00","22,496",,
PGC30g,353.31,354.30,353.31,354.14,3.04,0.87%,353.91,0.48,"169,879.80",-,,
