20190614
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,299.90,305.20,299.90,305.02,4.88,1.63%,303.37,428.00,"129,843,020.00",-,,
Au99.99,301.45,305.37,299.60,305.04,4.63,1.54%,303.28,"18,113.84","5,411,348,787.20",-,,
Au100g,300.00,305.25,299.12,304.33,4.14,1.38%,303.06,59.60,"18,062,538.00",-,,
iAu99.99,297.00,302.50,297.00,302.47,4.87,1.64%,300.15,474.20,"142,334,606.00",-,,
Au(T+D),300.40,305.49,299.81,305.14,5.29,1.76%,302.60,"110,250.00","33,361,972,540.00","285,146",多支付给空,"32,918"
Au(T+N1),300.75,305.45,300.50,305.40,5.55,1.85%,302.65,59.20,"17,918,130.00","4,252",空支付给多,"100,312"
Au(T+N2),302.55,307.50,302.20,307.30,4.60,1.52%,304.95,177.80,"54,222,390.00","428,444",多支付给空,"2,400"
mAu(T+D),300.35,305.49,299.86,305.09,5.26,1.75%,302.88,"17,861.60","5,410,019,518.00","746,656",空支付给多,"55,612"
Pt99.95,187.62,187.94,187.50,187.50,0.19,0.10%,187.61,508.00,"95,306,960.00",-,,
Ag(T+D),"3,573","3,618","3,567","3,612",41,1.15%,"3,593","5,041,372.00","18,115,296,348.00","13,266,614",多支付给空,"96,330"
PGC30g,303.60,305.80,302.80,304.77,6.15,2.06%,304.13,0.78,"237,227.40",-,,
