20180807
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收方向,交收量
Au99.95,267.30,267.65,267.30,267.61,0.09,0.03%,267.42,"1,460.00","390,433,240.00",-,,
Au99.99,268.50,268.50,267.08,267.61,0.01,0.00%,267.56,"12,091.16","3,251,055,535.20",-,,
Au100g,267.27,268.68,267.27,268.05,-0.20,-0.07%,268.03,44.20,"11,847,240.00",-,,
iAu99.99,267.08,267.30,267.00,267.13,-0.23,-0.09%,267.12,600.08,"160,294,366.40",-,,
Au(T+D),267.21,267.87,267.00,267.36,-0.29,-0.11%,267.38,"32,990.00","8,820,926,400.00","189,712",多支付给空,"11,746"
Au(T+N1),274.00,274.00,274.00,274.00,-0.35,-0.13%,274.00,5.00,"1,370,000.00","14,960",多支付给空,340
Au(T+N2),269.95,270.20,269.85,270.10,-0.45,-0.17%,270.05,110.80,"29,923,680.00","488,748",多支付给空,"3,420"
mAu(T+D),267.44,267.88,267.15,267.46,-0.24,-0.09%,267.49,"4,097.20","1,095,990,446.00","346,766",多支付给空,"12,134"
Pt99.95,195.99,197.14,195.80,195.98,-1.27,-0.64%,195.98,130.00,"25,478,680.00",-,,
Ag(T+D),"3,620","3,629","3,615","3,624",-6,-0.17%,"3,620","1,846,868.00","6,687,426,812.00","11,286,376",多支付给空,"54,330"
