20191225
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,339.20,339.20,338.50,338.57,1.52,0.45%,338.84,526.00,"178,233,420.00",-,,
Au99.99,337.88,339.55,336.62,338.59,1.63,0.48%,339.13,"17,974.46","5,915,828,734.00",-,,
Au100g,338.89,342.99,337.02,339.61,1.82,0.54%,339.37,25.20,"8,552,356.00",-,,
iAu99.99,334.86,336.36,334.86,334.99,-0.33,-0.10%,334.99,0.22,"73,699.20",-,,
Au(T+D),336.78,339.26,336.70,338.50,2.13,0.63%,338.53,"55,372.00","18,745,513,600.00","266,482",多支付给空,"8,746"
Au(T+N1),341.40,344.00,341.40,343.65,2.65,0.78%,343.20,334.20,"114,702,380.00","113,664",,
Au(T+N2),345.05,347.00,345.05,346.75,2.50,0.73%,346.60,86.00,"29,808,220.00","83,642",,
mAu(T+D),337.20,339.50,336.89,338.59,1.77,0.53%,338.56,"5,402.20","1,828,969,558.00","1,071,268",多支付给空,"9,714"
Pt99.95,220.08,220.50,220.00,220.20,2.01,0.92%,220.20,42.00,"9,248,800.00",-,,
Ag99.99,"4,298","4,298","4,298","4,298",34,0.80%,"4,298","3,060.00","13,151,880.00",204,,
Ag(T+D),"4,238","4,277","4,231","4,267",52,1.23%,"4,257","5,925,036.00","25,225,319,530.00","13,317,232",多支付给空,390
NYAuTN06,340.90,342.85,340.60,342.60,2.45,0.72%,341.90,271.40,"92,794,930.00","37,036",,
NYAuTN12,345.00,348.00,344.85,347.05,2.90,0.84%,346.65,97.20,"33,695,250.00","6,454",,
PGC30g,344.78,345.40,344.78,345.27,2.20,0.64%,345.25,6.96,"2,400,128.40",-,,
