20200318
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.5,338.00,338.00,338.00,338.00,-36.60,-9.77%,338.00,200.00,"67,600,000.00",-,,
Au99.95,341.00,341.20,337.90,338.00,6.26,1.89%,338.47,96.00,"32,493,400.00",-,,
Au99.99,332.98,346.00,329.01,338.39,7.32,2.21%,340.47,"18,871.54","6,240,455,038.80",-,,
Au100g,329.66,346.55,329.66,339.08,6.68,2.01%,340.74,75.80,"25,828,468.00",-,,
iAu99.99,335.00,345.00,335.00,340.50,6.29,1.88%,339.04,"8,738.80","2,960,333,724.80",-,,
Au(T+D),327.95,346.10,327.60,338.15,5.04,1.51%,339.10,"317,646.00","107,715,241,640.00","272,520",空支付给多,"9,630"
Au(T+N1),330.00,345.00,327.00,339.95,9.70,2.94%,342.70,"3,332.40","1,141,948,530.00","180,514",多支付给空,200
Au(T+N2),332.00,350.00,332.00,343.05,9.35,2.80%,343.60,223.00,"76,620,080.00","115,618",多支付给空,"1,000"
mAu(T+D),327.50,346.43,327.50,338.27,5.07,1.52%,339.22,"71,890.20","24,387,124,662.00","1,011,464",空支付给多,"53,866"
Pt99.95,152.20,166.50,152.20,160.00,-1.20,-0.74%,159.16,"1,966.00","312,918,900.00",-,,
NYAuTN06,331.45,348.10,329.25,340.60,5.95,1.78%,341.25,"1,604.20","547,453,130.00","59,532",,
NYAuTN12,334.85,358.00,333.15,344.45,6.20,1.83%,345.30,543.00,"187,487,910.00","36,554",,
PGC30g,337.96,349.23,337.96,348.83,7.96,2.34%,347.91,0.78,"271,374.00",-,,
