20191219
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,333.30,333.88,333.30,333.48,-0.37,-0.11%,333.54,372.00,"124,080,100.00",-,,
Au99.99,334.90,334.90,332.80,333.52,-0.73,-0.22%,333.82,"20,808.00","6,750,949,206.20",-,,
Au100g,333.82,334.70,333.00,333.42,-1.06,-0.32%,334.12,32.00,"10,691,912.00",-,,
iAu99.99,332.40,332.40,332.00,332.20,-0.50,-0.15%,332.20,500.00,"166,100,000.00",-,,
Au(T+D),333.25,333.83,332.20,333.22,-0.27,-0.08%,333.07,"42,054.00","14,007,245,440.00","249,812",多支付给空,"4,356"
Au(T+N1),337.10,338.20,337.00,338.10,0.25,0.07%,338.00,41.00,"13,857,820.00","109,058",,
Au(T+N2),340.15,341.25,340.10,340.95,0.20,0.06%,340.95,"1,737.00","592,196,720.00","68,106",,
mAu(T+D),333.77,334.22,332.47,333.72,-0.06,-0.02%,333.56,"6,318.80","2,107,745,234.00","1,053,142",空支付给多,"24,256"
Pt99.95,215.58,216.91,215.58,216.40,0.26,0.12%,216.44,206.00,"44,587,280.00",-,,
Ag99.99,"4,133","4,133","4,133","4,133",-9,-0.22%,"4,133",30.00,"123,990.00",2,,
Ag(T+D),"4,109","4,117","4,088","4,103",-5,-0.12%,"4,102","5,010,084.00","20,553,585,870.00","12,913,032",多支付给空,"121,980"
NYAuTN06,337.10,337.80,336.10,337.15,-0.35,-0.10%,336.85,158.20,"53,289,900.00","38,788",,
NYAuTN12,341.25,342.00,340.40,341.30,-0.10,-0.03%,341.25,85.60,"29,209,810.00","5,688",,
PGC30g,339.82,339.90,339.55,339.78,-0.41,-0.12%,339.78,0.48,"163,096.20",-,,
