20200319
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,335.00,335.00,330.80,333.15,-4.85,-1.43%,332.27,208.00,"69,113,000.00",-,,
Au99.99,339.75,342.00,331.00,336.15,-2.24,-0.66%,334.49,"21,185.46","6,640,619,973.00",-,,
Au100g,340.00,340.00,332.10,336.58,-2.50,-0.74%,335.66,46.00,"15,440,660.00",-,,
iAu99.99,336.00,338.00,330.00,337.98,-2.52,-0.74%,337.84,"4,391.96","1,483,798,509.20",-,,
Au(T+D),338.60,341.61,330.58,335.69,-3.41,-1.01%,335.83,"218,448.00","73,362,324,120.00","265,204",多支付给空,"10,866"
Au(T+N1),348.25,348.25,331.00,335.80,-6.90,-2.01%,334.00,731.20,"244,214,370.00","186,412",多支付给空,400
Au(T+N2),343.60,346.90,335.00,339.45,-4.15,-1.21%,337.95,52.80,"17,844,240.00","115,760",多支付给空,"1,000"
mAu(T+D),338.68,342.80,330.93,335.92,-3.30,-0.97%,336.08,"43,364.20","14,574,109,532.00","992,800",多支付给空,"67,642"
Pt99.95,156.77,162.50,156.77,158.30,-1.70,-1.06%,159.57,"1,024.00","163,402,800.00",-,,
Ag99.99,"3,200","3,200","3,200","3,200",-300,-8.57%,"3,200","61,560.00","196,992,000.00","4,104",,
Ag(T+D),"2,993","3,081","2,621","2,915",-254,-8.02%,"2,896","17,542,330.00","50,817,390,602.00","8,767,220",空支付给多,"608,700"
NYAuTN06,341.15,347.00,333.60,338.20,-3.05,-0.89%,338.35,706.00,"238,881,560.00","59,980",,
NYAuTN12,340.40,348.00,336.15,341.05,-4.25,-1.23%,340.05,523.20,"177,928,900.00","38,660",,
PGC30g,338.00,342.31,335.00,341.90,-6.93,-1.99%,339.57,1.98,"672,349.80",-,,
