20200211
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,352.20,352.20,351.20,351.53,-0.67,-0.19%,351.53,6.00,"2,109,200.00",-,,
Au99.99,354.60,354.60,351.69,352.43,-0.57,-0.16%,352.23,"4,840.38","1,644,617,640.80",-,,
Au100g,354.22,354.22,352.12,352.46,-1.00,-0.28%,352.86,21.60,"7,621,856.00",-,,
iAu99.99,352.30,352.30,351.70,352.00,-0.82,-0.23%,352.00,0.62,"218,240.00",-,,
iAu100g,268.00,268.00,268.00,268.00,6.00,2.29%,268.00,0.20,"53,600.00",-,,
Au(T+D),353.02,354.10,351.66,352.11,-1.06,-0.30%,352.56,"38,252.00","13,486,220,900.00","239,764",多支付给空,"8,336"
Au(T+N1),355.80,355.80,354.60,354.75,-0.95,-0.27%,355.10,453.40,"161,007,520.00","148,186",,800
Au(T+N2),361.00,361.00,359.00,359.55,-1.30,-0.36%,359.75,2.00,"719,550.00","105,124",,
mAu(T+D),353.48,354.20,351.75,352.18,-1.05,-0.30%,352.72,"4,731.20","1,668,834,486.00","1,252,644",多支付给空,"16,150"
Pt99.95,223.03,223.03,222.76,222.81,-2.41,-1.07%,222.81,50.00,"11,140,700.00",-,,
Ag99.99,"4,290","4,290","4,290","4,290",-10,-0.23%,"4,290",150.00,"643,500.00",10,,
Ag(T+D),"4,263","4,267","4,250","4,260",2,0.05%,"4,257","2,453,660.00","10,446,753,460.00","11,091,012",空支付给多,"61,470"
NYAuTN06,354.60,355.80,352.95,353.35,-1.35,-0.38%,354.30,248.60,"88,085,680.00","39,462",,
NYAuTN12,359.00,360.10,357.25,357.60,-1.25,-0.35%,358.20,51.80,"18,556,220.00","23,084",,
PGC30g,358.66,358.66,357.75,358.02,-0.94,-0.26%,358.20,0.60,"214,921.20",-,,
