20191028
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,343.10,343.50,342.90,343.49,0.03,0.01%,343.12,352.00,"120,778,620.00",-,,
Au99.99,345.75,346.00,342.11,343.64,-0.16,-0.05%,343.40,"10,011.38","3,437,734,537.00",-,,
Au100g,345.60,348.28,342.01,343.93,-0.06,-0.02%,344.42,36.00,"12,399,132.00",-,,
iAu99.99,341.69,342.50,341.30,341.92,-0.42,-0.12%,341.65,449.18,"153,462,817.40",-,,
Au(T+D),344.80,346.30,341.95,343.59,1.05,0.31%,344.01,"66,236.00","22,786,107,260.00","227,528",多支付给空,"5,982"
Au(T+N1),350.00,352.40,347.00,349.20,0.65,0.19%,350.65,69.00,"24,196,240.00","105,692",,
Au(T+N2),347.85,349.00,343.80,343.90,-0.40,-0.12%,344.40,"5,287.00","1,820,743,430.00","457,966",多支付给空,600
mAu(T+D),344.81,346.38,342.20,343.58,0.87,0.25%,344.06,"11,878.40","4,086,969,874.00","927,874",多支付给空,"40,760"
Pt99.95,217.37,217.44,216.35,217.29,-0.80,-0.37%,217.22,94.00,"20,419,440.00",-,,
Ag99.99,"4,423","4,423","4,423","4,423",9,0.20%,"4,423","12,000.00","53,076,000.00",800,,
Ag(T+D),"4,414","4,457","4,338","4,392",55,1.27%,"4,405","14,709,820.00","64,802,679,890.00","12,025,364",空支付给多,"340,950"
沪纽金TN06,347.00,349.50,346.00,347.25,1.70,0.49%,347.20,231.00,"80,209,540.00","8,988",,
沪纽金TN12,344.25,346.45,342.60,343.90,1.50,0.44%,343.85,360.40,"123,928,400.00","11,910",,
PGC30g,350.55,350.55,350.00,350.27,-0.28,-0.08%,350.27,0.12,"42,033.00",-,,
