20190624
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,314.00,314.05,313.00,313.20,2.01,0.65%,313.54,438.00,"137,333,280.00",-,,
Au99.99,312.00,314.66,310.70,313.26,2.26,0.73%,313.78,"23,136.64","7,204,260,250.60",-,,
Au100g,311.48,314.50,310.90,313.97,2.36,0.76%,313.59,45.80,"14,362,694.00",-,,
iAu99.99,309.00,311.27,308.00,310.15,1.96,0.64%,310.47,"10,533.60","3,270,445,208.60",-,,
iAu100g,280.00,280.00,280.00,280.00,-20.00,-6.67%,280.00,0.20,"56,000.00",-,,
Au(T+D),311.99,314.99,310.40,313.38,2.26,0.73%,312.95,"96,684.00","30,258,202,540.00","286,766",多支付给空,"14,384"
Au(T+N1),318.90,320.55,316.15,319.20,2.70,0.85%,318.75,293.20,"93,457,440.00","13,340",多支付给空,"2,800"
Au(T+N2),314.00,317.00,312.65,315.70,3.15,1.01%,315.95,"5,309.40","1,677,510,480.00","448,574",多支付给空,"1,000"
mAu(T+D),312.00,314.98,310.00,313.36,2.21,0.71%,312.96,"10,701.60","3,349,195,194.00","734,452",空支付给多,"21,770"
Pt99.95,185.80,186.18,185.80,186.04,1.55,0.84%,185.97,68.00,"12,646,560.00",-,,
Ag(T+D),"3,657","3,678","3,637","3,661",-4,-0.11%,"3,659","3,374,542.00","12,350,807,100.00","12,886,840",多支付给空,"51,000"
PGC30g,314.00,314.00,314.00,314.00,0.50,0.16%,314.00,0.12,"37,680.00",-,,
