20200113
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,347.00,347.25,345.80,346.12,-0.38,-0.11%,346.39,600.00,"207,838,040.00",-,,
Au99.99,347.45,348.00,345.50,345.70,-1.09,-0.31%,346.71,"19,620.74","6,712,064,046.20",-,,
Au100g,346.95,348.27,345.21,346.12,0.10,0.03%,346.82,37.80,"13,109,864.00",-,,
iAu99.99,345.00,345.61,344.50,345.14,0.34,0.10%,345.28,820.28,"283,231,705.80",-,,
Au(T+D),346.54,348.45,345.39,345.85,-0.80,-0.23%,346.82,"69,460.00","24,090,679,440.00","265,796",空支付给多,"25,112"
Au(T+N1),350.00,352.00,348.50,348.95,-0.90,-0.26%,349.50,54.20,"18,942,910.00","145,498",多支付给空,
Au(T+N2),353.00,355.00,352.20,352.70,-0.40,-0.11%,352.90,211.80,"74,749,980.00","92,976",,
mAu(T+D),346.60,348.49,345.60,345.90,-0.84,-0.24%,346.88,"9,230.40","3,201,849,410.00","1,247,454",多支付给空,"55,288"
Pt99.95,223.60,223.62,222.33,222.68,0.85,0.38%,223.16,102.00,"22,762,420.00",-,,
Ag(T+D),"4,288","4,326","4,259","4,283",0,0.00%,"4,297","11,508,820.00","49,454,602,034.00","12,061,974",多支付给空,"754,590"
NYAuTN06,348.05,350.15,347.15,347.40,-1.10,-0.32%,348.35,650.20,"226,500,520.00","40,514",,
NYAuTN12,353.05,354.85,351.90,351.95,-1.20,-0.34%,352.90,386.60,"136,438,950.00","17,442",,
PGC30g,353.29,353.29,352.87,352.97,0.47,0.13%,352.97,0.24,"84,714.00",-,,
