20200320
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,336.00,340.00,336.00,339.21,6.06,1.82%,338.44,94.00,"31,814,000.00",-,,
Au99.99,337.00,340.50,333.18,340.00,3.85,1.15%,337.18,"25,431.20","8,002,545,356.40",-,,
Au100g,335.35,340.00,333.11,339.99,3.41,1.01%,337.42,39.60,"13,361,982.00",-,,
iAu99.99,336.50,339.50,336.50,338.24,0.26,0.08%,338.24,20.64,"6,981,280.00",-,,
Au(T+D),334.75,340.27,332.72,340.04,4.21,1.25%,336.56,"152,386.00","51,287,610,720.00","257,268",多支付给空,"18,072"
Au(T+N1),335.00,341.20,334.05,339.55,5.55,1.66%,337.55,"1,077.60","363,767,450.00","192,940",多支付给空,400
Au(T+N2),338.00,344.85,338.00,343.20,5.25,1.55%,340.80,276.40,"94,201,150.00","117,218",多支付给空,"1,000"
mAu(T+D),335.08,340.45,333.05,339.95,3.87,1.15%,336.55,"30,594.20","10,296,482,836.00","972,092",空支付给多,"71,608"
Pt99.95,156.00,160.00,155.00,158.00,-0.30,-0.19%,157.63,874.00,"137,769,580.00",-,,
Ag99.99,"3,145","3,150","3,145","3,147",-53,-1.66%,"3,147","1,050.00","3,304,800.00",70,,
Ag(T+D),"2,915","3,156","2,866","3,143",247,8.53%,"3,027","18,486,458.00","55,964,949,784.00","9,069,490",多支付给空,"94,980"
NYAuTN06,337.95,342.90,336.00,342.80,4.45,1.32%,339.30,400.60,"135,933,510.00","59,522",,
NYAuTN12,340.70,345.55,339.00,344.35,4.30,1.26%,342.30,226.60,"77,564,560.00","38,860",,
PGC30g,343.90,345.41,342.81,344.50,2.60,0.76%,344.03,1.08,"371,561.40",-,,
